Nano Seconds,Value_of_n
4209ns,1693135 n
2875ns,1693136 n
5084ns,1693137 n
4125ns,1693138 n
2958ns,1693139 n
2625ns,1693140 n
8291ns,1693141 n
2834ns,1693142 n
2750ns,1693143 n
2500ns,1693144 n
3208ns,1693145 n
2583ns,1693146 n
2458ns,1693147 n
2541ns,1693148 n
2584ns,1693149 n
2583ns,1693150 n
4917ns,1693151 n
2792ns,1693152 n
3041ns,1693153 n
2459ns,1693154 n
2708ns,1693155 n
2500ns,1693156 n
3708ns,1693157 n
3209ns,1693158 n
4708ns,1693159 n
2584ns,1693160 n
4541ns,1693161 n
2875ns,1693162 n
4625ns,1693163 n
3792ns,1693164 n
3542ns,1693165 n
2667ns,1693166 n
2959ns,1693167 n
3083ns,1693168 n
2375ns,1693169 n
3625ns,1693170 n
2625ns,1693171 n
2417ns,1693172 n
2708ns,1693173 n
3000ns,1693174 n
3667ns,1693175 n
2625ns,1693176 n
4792ns,1693177 n
2584ns,1693178 n
4416ns,1693179 n
2834ns,1693180 n
2583ns,1693181 n
3875ns,1693182 n
4875ns,1693183 n
2167ns,1693184 n
2917ns,1693185 n
2709ns,1693186 n
2500ns,1693187 n
2875ns,1693188 n
3208ns,1693189 n
2875ns,1693190 n
3792ns,1693191 n
3750ns,1693192 n
6292ns,1693193 n
3708ns,1693194 n
2750ns,1693195 n
2458ns,1693196 n
3042ns,1693197 n
2792ns,1693198 n
5750ns,1693199 n
2500ns,1693200 n
2375ns,1693201 n
2708ns,1693202 n
2750ns,1693203 n
3209ns,1693204 n
6750ns,1693205 n
5417ns,1693206 n
4333ns,1693207 n
4209ns,1693208 n
3000ns,1693209 n
2666ns,1693210 n
3459ns,1693211 n
2833ns,1693212 n
4500ns,1693213 n
2792ns,1693214 n
5083ns,1693215 n
2709ns,1693216 n
4416ns,1693217 n
3791ns,1693218 n
2792ns,1693219 n
2542ns,1693220 n
2917ns,1693221 n
3292ns,1693222 n
2916ns,1693223 n
3042ns,1693224 n
4250ns,1693225 n
4125ns,1693226 n
2833ns,1693227 n
2584ns,1693228 n
5750ns,1693229 n
3041ns,1693230 n
3291ns,1693231 n
4458ns,1693232 n
2792ns,1693233 n
2708ns,1693234 n
3292ns,1693235 n
5500ns,1693236 n
2583ns,1693237 n
3917ns,1693238 n
5666ns,1693239 n
2708ns,1693240 n
3750ns,1693241 n
3292ns,1693242 n
4334ns,1693243 n
3375ns,1693244 n
4500ns,1693245 n
3500ns,1693246 n
4875ns,1693247 n
2625ns,1693248 n
2417ns,1693249 n
3000ns,1693250 n
2125ns,1693251 n
2875ns,1693252 n
4000ns,1693253 n
4042ns,1693254 n
4250ns,1693255 n
2500ns,1693256 n
2792ns,1693257 n
2708ns,1693258 n
4250ns,1693259 n
2708ns,1693260 n
2500ns,1693261 n
5125ns,1693262 n
2541ns,1693263 n
2458ns,1693264 n
4209ns,1693265 n
3833ns,1693266 n
2625ns,1693267 n
2917ns,1693268 n
4042ns,1693269 n
2708ns,1693270 n
2542ns,1693271 n
2709ns,1693272 n
2375ns,1693273 n
3041ns,1693274 n
3417ns,1693275 n
3000ns,1693276 n
2542ns,1693277 n
3083ns,1693278 n
3375ns,1693279 n
2500ns,1693280 n
2667ns,1693281 n
2833ns,1693282 n
3458ns,1693283 n
2583ns,1693284 n
2834ns,1693285 n
5625ns,1693286 n
3125ns,1693287 n
2458ns,1693288 n
2667ns,1693289 n
2833ns,1693290 n
4750ns,1693291 n
2625ns,1693292 n
2541ns,1693293 n
2625ns,1693294 n
2625ns,1693295 n
3041ns,1693296 n
4250ns,1693297 n
3792ns,1693298 n
3750ns,1693299 n
3417ns,1693300 n
3708ns,1693301 n
3125ns,1693302 n
2541ns,1693303 n
2500ns,1693304 n
2625ns,1693305 n
3666ns,1693306 n
2875ns,1693307 n
3625ns,1693308 n
2583ns,1693309 n
3250ns,1693310 n
2667ns,1693311 n
2292ns,1693312 n
3042ns,1693313 n
4292ns,1693314 n
3125ns,1693315 n
3250ns,1693316 n
4875ns,1693317 n
3292ns,1693318 n
2625ns,1693319 n
3833ns,1693320 n
3042ns,1693321 n
2541ns,1693322 n
2625ns,1693323 n
4416ns,1693324 n
3042ns,1693325 n
2625ns,1693326 n
2625ns,1693327 n
2792ns,1693328 n
2500ns,1693329 n
8125ns,1693330 n
2500ns,1693331 n
2958ns,1693332 n
2500ns,1693333 n
2541ns,1693334 n
3000ns,1693335 n
2542ns,1693336 n
2875ns,1693337 n
6084ns,1693338 n
2666ns,1693339 n
4625ns,1693340 n
3042ns,1693341 n
2709ns,1693342 n
2542ns,1693343 n
2917ns,1693344 n
2750ns,1693345 n
2541ns,1693346 n
2625ns,1693347 n
7209ns,1693348 n
2666ns,1693349 n
3541ns,1693350 n
2417ns,1693351 n
3208ns,1693352 n
2875ns,1693353 n
2625ns,1693354 n
8625ns,1693355 n
2750ns,1693356 n
2541ns,1693357 n
3500ns,1693358 n
3542ns,1693359 n
4042ns,1693360 n
2416ns,1693361 n
2916ns,1693362 n
4209ns,1693363 n
2500ns,1693364 n
3583ns,1693365 n
5167ns,1693366 n
2625ns,1693367 n
3125ns,1693368 n
6500ns,1693369 n
2667ns,1693370 n
2833ns,1693371 n
3458ns,1693372 n
3041ns,1693373 n
2625ns,1693374 n
1750ns,1693375 n
2500ns,1693376 n
3000ns,1693377 n
2500ns,1693378 n
3250ns,1693379 n
3333ns,1693380 n
3167ns,1693381 n
4208ns,1693382 n
3250ns,1693383 n
3000ns,1693384 n
5292ns,1693385 n
3166ns,1693386 n
3125ns,1693387 n
2541ns,1693388 n
2833ns,1693389 n
2583ns,1693390 n
2750ns,1693391 n
2708ns,1693392 n
2875ns,1693393 n
2792ns,1693394 n
2833ns,1693395 n
5791ns,1693396 n
3042ns,1693397 n
2750ns,1693398 n
5292ns,1693399 n
2750ns,1693400 n
2792ns,1693401 n
4792ns,1693402 n
4708ns,1693403 n
2792ns,1693404 n
2792ns,1693405 n
2667ns,1693406 n
5375ns,1693407 n
2459ns,1693408 n
8250ns,1693409 n
3958ns,1693410 n
2500ns,1693411 n
4500ns,1693412 n
3375ns,1693413 n
3750ns,1693414 n
2708ns,1693415 n
2292ns,1693416 n
2958ns,1693417 n
5417ns,1693418 n
2583ns,1693419 n
3958ns,1693420 n
3583ns,1693421 n
3292ns,1693422 n
4083ns,1693423 n
3458ns,1693424 n
3709ns,1693425 n
3167ns,1693426 n
2666ns,1693427 n
3125ns,1693428 n
2583ns,1693429 n
2709ns,1693430 n
3000ns,1693431 n
2500ns,1693432 n
2666ns,1693433 n
2791ns,1693434 n
2667ns,1693435 n
4792ns,1693436 n
5500ns,1693437 n
2750ns,1693438 n
3000ns,1693439 n
2166ns,1693440 n
2375ns,1693441 n
2542ns,1693442 n
4125ns,1693443 n
3709ns,1693444 n
2500ns,1693445 n
2917ns,1693446 n
2500ns,1693447 n
2500ns,1693448 n
4334ns,1693449 n
3041ns,1693450 n
3250ns,1693451 n
2750ns,1693452 n
2541ns,1693453 n
3500ns,1693454 n
3500ns,1693455 n
3208ns,1693456 n
6666ns,1693457 n
2834ns,1693458 n
5708ns,1693459 n
2542ns,1693460 n
2708ns,1693461 n
3833ns,1693462 n
5625ns,1693463 n
3833ns,1693464 n
4000ns,1693465 n
2583ns,1693466 n
3125ns,1693467 n
2625ns,1693468 n
3834ns,1693469 n
2666ns,1693470 n
3000ns,1693471 n
3084ns,1693472 n
2792ns,1693473 n
5292ns,1693474 n
2708ns,1693475 n
2750ns,1693476 n
3500ns,1693477 n
2584ns,1693478 n
5583ns,1693479 n
2458ns,1693480 n
7833ns,1693481 n
3584ns,1693482 n
3042ns,1693483 n
3042ns,1693484 n
2834ns,1693485 n
3083ns,1693486 n
7083ns,1693487 n
2667ns,1693488 n
2500ns,1693489 n
2542ns,1693490 n
2750ns,1693491 n
5291ns,1693492 n
2542ns,1693493 n
3000ns,1693494 n
4583ns,1693495 n
2417ns,1693496 n
3416ns,1693497 n
2500ns,1693498 n
2959ns,1693499 n
2750ns,1693500 n
2500ns,1693501 n
2625ns,1693502 n
2667ns,1693503 n
3459ns,1693504 n
3583ns,1693505 n
2959ns,1693506 n
8041ns,1693507 n
2709ns,1693508 n
4167ns,1693509 n
2666ns,1693510 n
2584ns,1693511 n
4209ns,1693512 n
2958ns,1693513 n
2458ns,1693514 n
2666ns,1693515 n
2792ns,1693516 n
2709ns,1693517 n
3000ns,1693518 n
8667ns,1693519 n
2583ns,1693520 n
3000ns,1693521 n
5084ns,1693522 n
3291ns,1693523 n
2667ns,1693524 n
2750ns,1693525 n
3500ns,1693526 n
3000ns,1693527 n
2541ns,1693528 n
2459ns,1693529 n
3083ns,1693530 n
5500ns,1693531 n
3375ns,1693532 n
4583ns,1693533 n
4625ns,1693534 n
2542ns,1693535 n
2375ns,1693536 n
2291ns,1693537 n
2958ns,1693538 n
2708ns,1693539 n
2959ns,1693540 n
2458ns,1693541 n
2875ns,1693542 n
3792ns,1693543 n
2459ns,1693544 n
3292ns,1693545 n
4042ns,1693546 n
4375ns,1693547 n
3083ns,1693548 n
2625ns,1693549 n
3042ns,1693550 n
3625ns,1693551 n
2375ns,1693552 n
2458ns,1693553 n
4166ns,1693554 n
4209ns,1693555 n
2500ns,1693556 n
2958ns,1693557 n
2625ns,1693558 n
4125ns,1693559 n
2417ns,1693560 n
2750ns,1693561 n
3000ns,1693562 n
4875ns,1693563 n
3292ns,1693564 n
2750ns,1693565 n
3125ns,1693566 n
11291ns,1693567 n
3209ns,1693568 n
2708ns,1693569 n
5250ns,1693570 n
2834ns,1693571 n
2750ns,1693572 n
2625ns,1693573 n
3000ns,1693574 n
3125ns,1693575 n
3708ns,1693576 n
2458ns,1693577 n
4458ns,1693578 n
2625ns,1693579 n
2875ns,1693580 n
4875ns,1693581 n
2417ns,1693582 n
2542ns,1693583 n
2584ns,1693584 n
2542ns,1693585 n
6917ns,1693586 n
4333ns,1693587 n
2667ns,1693588 n
5292ns,1693589 n
3000ns,1693590 n
2833ns,1693591 n
2708ns,1693592 n
2708ns,1693593 n
3500ns,1693594 n
3417ns,1693595 n
4084ns,1693596 n
5042ns,1693597 n
5000ns,1693598 n
2792ns,1693599 n
1958ns,1693600 n
2583ns,1693601 n
3917ns,1693602 n
3125ns,1693603 n
4000ns,1693604 n
3083ns,1693605 n
7375ns,1693606 n
2584ns,1693607 n
3208ns,1693608 n
5417ns,1693609 n
2666ns,1693610 n
2750ns,1693611 n
2583ns,1693612 n
2500ns,1693613 n
2458ns,1693614 n
3000ns,1693615 n
5083ns,1693616 n
6167ns,1693617 n
4500ns,1693618 n
5250ns,1693619 n
3959ns,1693620 n
2458ns,1693621 n
2834ns,1693622 n
3583ns,1693623 n
3000ns,1693624 n
2917ns,1693625 n
4041ns,1693626 n
2792ns,1693627 n
3208ns,1693628 n
3417ns,1693629 n
7125ns,1693630 n
2709ns,1693631 n
2625ns,1693632 n
2459ns,1693633 n
3875ns,1693634 n
2792ns,1693635 n
2625ns,1693636 n
2667ns,1693637 n
4083ns,1693638 n
2667ns,1693639 n
2500ns,1693640 n
3333ns,1693641 n
4292ns,1693642 n
5291ns,1693643 n
3375ns,1693644 n
3917ns,1693645 n
2708ns,1693646 n
5416ns,1693647 n
2917ns,1693648 n
2542ns,1693649 n
3167ns,1693650 n
2666ns,1693651 n
2458ns,1693652 n
2833ns,1693653 n
4167ns,1693654 n
2791ns,1693655 n
2792ns,1693656 n
2708ns,1693657 n
2708ns,1693658 n
2667ns,1693659 n
2584ns,1693660 n
2458ns,1693661 n
5625ns,1693662 n
2667ns,1693663 n
2542ns,1693664 n
3250ns,1693665 n
2916ns,1693666 n
2542ns,1693667 n
3792ns,1693668 n
8042ns,1693669 n
2958ns,1693670 n
2917ns,1693671 n
4333ns,1693672 n
3542ns,1693673 n
2583ns,1693674 n
3541ns,1693675 n
2917ns,1693676 n
2958ns,1693677 n
2584ns,1693678 n
2583ns,1693679 n
2667ns,1693680 n
2917ns,1693681 n
2625ns,1693682 n
4500ns,1693683 n
4166ns,1693684 n
2625ns,1693685 n
2750ns,1693686 n
3166ns,1693687 n
2625ns,1693688 n
4500ns,1693689 n
2584ns,1693690 n
2625ns,1693691 n
3041ns,1693692 n
3292ns,1693693 n
5750ns,1693694 n
2625ns,1693695 n
2166ns,1693696 n
4750ns,1693697 n
4458ns,1693698 n
4250ns,1693699 n
2625ns,1693700 n
3125ns,1693701 n
2541ns,1693702 n
4375ns,1693703 n
2834ns,1693704 n
4541ns,1693705 n
6375ns,1693706 n
6333ns,1693707 n
2542ns,1693708 n
10334ns,1693709 n
2875ns,1693710 n
2500ns,1693711 n
2541ns,1693712 n
3209ns,1693713 n
5208ns,1693714 n
4500ns,1693715 n
2750ns,1693716 n
5375ns,1693717 n
3000ns,1693718 n
4625ns,1693719 n
2708ns,1693720 n
4083ns,1693721 n
2875ns,1693722 n
8125ns,1693723 n
2625ns,1693724 n
2917ns,1693725 n
4000ns,1693726 n
3666ns,1693727 n
2667ns,1693728 n
2333ns,1693729 n
2625ns,1693730 n
3375ns,1693731 n
4291ns,1693732 n
4083ns,1693733 n
3000ns,1693734 n
2459ns,1693735 n
2416ns,1693736 n
3125ns,1693737 n
2583ns,1693738 n
3458ns,1693739 n
2625ns,1693740 n
2708ns,1693741 n
2625ns,1693742 n
3333ns,1693743 n
2834ns,1693744 n
2625ns,1693745 n
4542ns,1693746 n
3416ns,1693747 n
5292ns,1693748 n
3333ns,1693749 n
2833ns,1693750 n
5834ns,1693751 n
2708ns,1693752 n
2500ns,1693753 n
2542ns,1693754 n
2917ns,1693755 n
2583ns,1693756 n
3125ns,1693757 n
2875ns,1693758 n
5458ns,1693759 n
3834ns,1693760 n
2750ns,1693761 n
5208ns,1693762 n
2542ns,1693763 n
3250ns,1693764 n
2792ns,1693765 n
2792ns,1693766 n
4041ns,1693767 n
4708ns,1693768 n
2875ns,1693769 n
3542ns,1693770 n
3750ns,1693771 n
3208ns,1693772 n
2833ns,1693773 n
2208ns,1693774 n
2666ns,1693775 n
3666ns,1693776 n
2375ns,1693777 n
3084ns,1693778 n
2500ns,1693779 n
2500ns,1693780 n
4333ns,1693781 n
3042ns,1693782 n
2875ns,1693783 n
2500ns,1693784 n
3125ns,1693785 n
3792ns,1693786 n
3500ns,1693787 n
4459ns,1693788 n
2791ns,1693789 n
2667ns,1693790 n
2916ns,1693791 n
3541ns,1693792 n
4250ns,1693793 n
2875ns,1693794 n
3208ns,1693795 n
3083ns,1693796 n
2709ns,1693797 n
4125ns,1693798 n
4417ns,1693799 n
3417ns,1693800 n
5166ns,1693801 n
2875ns,1693802 n
2666ns,1693803 n
2708ns,1693804 n
2500ns,1693805 n
5792ns,1693806 n
2667ns,1693807 n
2500ns,1693808 n
3333ns,1693809 n
4166ns,1693810 n
2459ns,1693811 n
2416ns,1693812 n
4125ns,1693813 n
3417ns,1693814 n
3000ns,1693815 n
2541ns,1693816 n
2500ns,1693817 n
3125ns,1693818 n
3500ns,1693819 n
2750ns,1693820 n
2875ns,1693821 n
2458ns,1693822 n
3791ns,1693823 n
2417ns,1693824 n
2791ns,1693825 n
2417ns,1693826 n
3417ns,1693827 n
2333ns,1693828 n
2750ns,1693829 n
3709ns,1693830 n
3584ns,1693831 n
2333ns,1693832 n
3833ns,1693833 n
2667ns,1693834 n
2416ns,1693835 n
2875ns,1693836 n
8958ns,1693837 n
2666ns,1693838 n
4500ns,1693839 n
2750ns,1693840 n
2500ns,1693841 n
2792ns,1693842 n
5083ns,1693843 n
2542ns,1693844 n
2791ns,1693845 n
3084ns,1693846 n
4167ns,1693847 n
3250ns,1693848 n
9208ns,1693849 n
3167ns,1693850 n
2708ns,1693851 n
2584ns,1693852 n
2542ns,1693853 n
4542ns,1693854 n
3791ns,1693855 n
3334ns,1693856 n
2583ns,1693857 n
2084ns,1693858 n
2583ns,1693859 n
2625ns,1693860 n
2208ns,1693861 n
2417ns,1693862 n
3208ns,1693863 n
4709ns,1693864 n
2625ns,1693865 n
2750ns,1693866 n
2708ns,1693867 n
2833ns,1693868 n
3084ns,1693869 n
4250ns,1693870 n
4500ns,1693871 n
3833ns,1693872 n
3833ns,1693873 n
3375ns,1693874 n
2667ns,1693875 n
2583ns,1693876 n
3500ns,1693877 n
2709ns,1693878 n
2458ns,1693879 n
2959ns,1693880 n
3042ns,1693881 n
8291ns,1693882 n
2584ns,1693883 n
2625ns,1693884 n
2542ns,1693885 n
2625ns,1693886 n
1791ns,1693887 n
2459ns,1693888 n
2417ns,1693889 n
2584ns,1693890 n
2583ns,1693891 n
3458ns,1693892 n
3584ns,1693893 n
3041ns,1693894 n
3167ns,1693895 n
5417ns,1693896 n
3041ns,1693897 n
2542ns,1693898 n
3875ns,1693899 n
2958ns,1693900 n
2750ns,1693901 n
2792ns,1693902 n
5292ns,1693903 n
2750ns,1693904 n
3000ns,1693905 n
2542ns,1693906 n
2958ns,1693907 n
4584ns,1693908 n
3875ns,1693909 n
4750ns,1693910 n
4708ns,1693911 n
2875ns,1693912 n
4250ns,1693913 n
2709ns,1693914 n
2791ns,1693915 n
2750ns,1693916 n
3041ns,1693917 n
4167ns,1693918 n
2625ns,1693919 n
2667ns,1693920 n
2375ns,1693921 n
2500ns,1693922 n
2958ns,1693923 n
2542ns,1693924 n
2584ns,1693925 n
2833ns,1693926 n
5417ns,1693927 n
2458ns,1693928 n
3000ns,1693929 n
2792ns,1693930 n
3083ns,1693931 n
2625ns,1693932 n
2875ns,1693933 n
2750ns,1693934 n
2833ns,1693935 n
2375ns,1693936 n
3416ns,1693937 n
5083ns,1693938 n
2791ns,1693939 n
2667ns,1693940 n
10208ns,1693941 n
3625ns,1693942 n
2625ns,1693943 n
2583ns,1693944 n
2958ns,1693945 n
2500ns,1693946 n
4000ns,1693947 n
2417ns,1693948 n
4708ns,1693949 n
2834ns,1693950 n
2584ns,1693951 n
2500ns,1693952 n
3708ns,1693953 n
2417ns,1693954 n
2792ns,1693955 n
2583ns,1693956 n
2542ns,1693957 n
2583ns,1693958 n
2791ns,1693959 n
2750ns,1693960 n
6417ns,1693961 n
2958ns,1693962 n
5875ns,1693963 n
3167ns,1693964 n
2458ns,1693965 n
2667ns,1693966 n
2667ns,1693967 n
2750ns,1693968 n
3833ns,1693969 n
4000ns,1693970 n
3667ns,1693971 n
3333ns,1693972 n
2875ns,1693973 n
4042ns,1693974 n
3000ns,1693975 n
2542ns,1693976 n
3291ns,1693977 n
2792ns,1693978 n
4750ns,1693979 n
2875ns,1693980 n
3291ns,1693981 n
2875ns,1693982 n
3709ns,1693983 n
2250ns,1693984 n
3334ns,1693985 n
4041ns,1693986 n
2542ns,1693987 n
2375ns,1693988 n
4250ns,1693989 n
2958ns,1693990 n
2417ns,1693991 n
2625ns,1693992 n
3958ns,1693993 n
2500ns,1693994 n
2917ns,1693995 n
2500ns,1693996 n
5041ns,1693997 n
3000ns,1693998 n
4084ns,1693999 n
2125ns,1694000 n
2833ns,1694001 n
3209ns,1694002 n
4958ns,1694003 n
3292ns,1694004 n
3500ns,1694005 n
3166ns,1694006 n
2750ns,1694007 n
3167ns,1694008 n
4000ns,1694009 n
2875ns,1694010 n
2417ns,1694011 n
2625ns,1694012 n
2667ns,1694013 n
2750ns,1694014 n
2792ns,1694015 n
2708ns,1694016 n
4917ns,1694017 n
2458ns,1694018 n
3208ns,1694019 n
2750ns,1694020 n
3833ns,1694021 n
2666ns,1694022 n
2542ns,1694023 n
4833ns,1694024 n
2791ns,1694025 n
4334ns,1694026 n
2542ns,1694027 n
3500ns,1694028 n
2500ns,1694029 n
4417ns,1694030 n
4167ns,1694031 n
5208ns,1694032 n
3500ns,1694033 n
3333ns,1694034 n
2709ns,1694035 n
2500ns,1694036 n
2709ns,1694037 n
4458ns,1694038 n
3542ns,1694039 n
3041ns,1694040 n
3208ns,1694041 n
2541ns,1694042 n
2708ns,1694043 n
2709ns,1694044 n
2417ns,1694045 n
6458ns,1694046 n
6667ns,1694047 n
3542ns,1694048 n
2958ns,1694049 n
2792ns,1694050 n
2583ns,1694051 n
3208ns,1694052 n
4584ns,1694053 n
5125ns,1694054 n
2833ns,1694055 n
2417ns,1694056 n
3000ns,1694057 n
6834ns,1694058 n
6417ns,1694059 n
3625ns,1694060 n
3041ns,1694061 n
2666ns,1694062 n
2584ns,1694063 n
2458ns,1694064 n
2667ns,1694065 n
2833ns,1694066 n
3250ns,1694067 n
3708ns,1694068 n
3625ns,1694069 n
2833ns,1694070 n
3792ns,1694071 n
4666ns,1694072 n
4084ns,1694073 n
2583ns,1694074 n
2792ns,1694075 n
3917ns,1694076 n
2709ns,1694077 n
4666ns,1694078 n
3625ns,1694079 n
2667ns,1694080 n
2375ns,1694081 n
2667ns,1694082 n
3000ns,1694083 n
3542ns,1694084 n
3375ns,1694085 n
3375ns,1694086 n
4417ns,1694087 n
2833ns,1694088 n
3209ns,1694089 n
3333ns,1694090 n
3458ns,1694091 n
4625ns,1694092 n
3500ns,1694093 n
3166ns,1694094 n
3584ns,1694095 n
3625ns,1694096 n
3417ns,1694097 n
3167ns,1694098 n
7333ns,1694099 n
3625ns,1694100 n
5167ns,1694101 n
2917ns,1694102 n
3042ns,1694103 n
6583ns,1694104 n
4167ns,1694105 n
3083ns,1694106 n
6708ns,1694107 n
3209ns,1694108 n
3166ns,1694109 n
3000ns,1694110 n
3625ns,1694111 n
3083ns,1694112 n
5792ns,1694113 n
4666ns,1694114 n
5084ns,1694115 n
2875ns,1694116 n
7459ns,1694117 n
2958ns,1694118 n
2917ns,1694119 n
3875ns,1694120 n
3500ns,1694121 n
2750ns,1694122 n
2875ns,1694123 n
3209ns,1694124 n
2833ns,1694125 n
4667ns,1694126 n
3125ns,1694127 n
2667ns,1694128 n
2708ns,1694129 n
4917ns,1694130 n
5334ns,1694131 n
4250ns,1694132 n
3292ns,1694133 n
4083ns,1694134 n
2917ns,1694135 n
3041ns,1694136 n
5334ns,1694137 n
2916ns,1694138 n
2875ns,1694139 n
3084ns,1694140 n
2792ns,1694141 n
3875ns,1694142 n
4583ns,1694143 n
3709ns,1694144 n
4666ns,1694145 n
2708ns,1694146 n
2917ns,1694147 n
3333ns,1694148 n
4292ns,1694149 n
2792ns,1694150 n
2583ns,1694151 n
2708ns,1694152 n
4750ns,1694153 n
2750ns,1694154 n
3916ns,1694155 n
3250ns,1694156 n
4084ns,1694157 n
2667ns,1694158 n
2542ns,1694159 n
2708ns,1694160 n
3667ns,1694161 n
4083ns,1694162 n
5250ns,1694163 n
2625ns,1694164 n
2834ns,1694165 n
4625ns,1694166 n
2583ns,1694167 n
2417ns,1694168 n
2750ns,1694169 n
4250ns,1694170 n
2542ns,1694171 n
2625ns,1694172 n
1959ns,1694173 n
3625ns,1694174 n
2833ns,1694175 n
2792ns,1694176 n
2417ns,1694177 n
3125ns,1694178 n
5875ns,1694179 n
2667ns,1694180 n
2500ns,1694181 n
2875ns,1694182 n
6333ns,1694183 n
3917ns,1694184 n
3542ns,1694185 n
2750ns,1694186 n
4000ns,1694187 n
2583ns,1694188 n
3583ns,1694189 n
2750ns,1694190 n
2584ns,1694191 n
2625ns,1694192 n
3542ns,1694193 n
2583ns,1694194 n
2917ns,1694195 n
2875ns,1694196 n
2500ns,1694197 n
3667ns,1694198 n
2833ns,1694199 n
3667ns,1694200 n
5750ns,1694201 n
3959ns,1694202 n
2792ns,1694203 n
4708ns,1694204 n
3042ns,1694205 n
2708ns,1694206 n
2666ns,1694207 n
2625ns,1694208 n
3125ns,1694209 n
2833ns,1694210 n
2583ns,1694211 n
2667ns,1694212 n
2458ns,1694213 n
5250ns,1694214 n
5167ns,1694215 n
2375ns,1694216 n
2667ns,1694217 n
2583ns,1694218 n
6166ns,1694219 n
3125ns,1694220 n
2459ns,1694221 n
3667ns,1694222 n
4708ns,1694223 n
2416ns,1694224 n
2750ns,1694225 n
2584ns,1694226 n
2584ns,1694227 n
2500ns,1694228 n
3333ns,1694229 n
2833ns,1694230 n
2708ns,1694231 n
3125ns,1694232 n
2583ns,1694233 n
3625ns,1694234 n
4625ns,1694235 n
2584ns,1694236 n
2791ns,1694237 n
3166ns,1694238 n
2583ns,1694239 n
2541ns,1694240 n
2834ns,1694241 n
2375ns,1694242 n
2500ns,1694243 n
4083ns,1694244 n
3125ns,1694245 n
4667ns,1694246 n
4375ns,1694247 n
2417ns,1694248 n
2416ns,1694249 n
3209ns,1694250 n
3291ns,1694251 n
3000ns,1694252 n
2500ns,1694253 n
2667ns,1694254 n
2709ns,1694255 n
2916ns,1694256 n
4042ns,1694257 n
2458ns,1694258 n
2625ns,1694259 n
2541ns,1694260 n
4625ns,1694261 n
2750ns,1694262 n
2709ns,1694263 n
2917ns,1694264 n
2875ns,1694265 n
2792ns,1694266 n
2875ns,1694267 n
3250ns,1694268 n
6250ns,1694269 n
2542ns,1694270 n
3917ns,1694271 n
2792ns,1694272 n
4625ns,1694273 n
2958ns,1694274 n
5083ns,1694275 n
8500ns,1694276 n
2875ns,1694277 n
3292ns,1694278 n
5584ns,1694279 n
3916ns,1694280 n
3125ns,1694281 n
5417ns,1694282 n
3500ns,1694283 n
4541ns,1694284 n
3417ns,1694285 n
4833ns,1694286 n
4000ns,1694287 n
3083ns,1694288 n
6042ns,1694289 n
2875ns,1694290 n
2625ns,1694291 n
4334ns,1694292 n
4375ns,1694293 n
2959ns,1694294 n
3166ns,1694295 n
3584ns,1694296 n
2625ns,1694297 n
3000ns,1694298 n
4791ns,1694299 n
2916ns,1694300 n
2709ns,1694301 n
2750ns,1694302 n
4250ns,1694303 n
3083ns,1694304 n
3750ns,1694305 n
2709ns,1694306 n
4375ns,1694307 n
3291ns,1694308 n
2625ns,1694309 n
3125ns,1694310 n
2750ns,1694311 n
2583ns,1694312 n
3750ns,1694313 n
2625ns,1694314 n
3125ns,1694315 n
2708ns,1694316 n
5959ns,1694317 n
3250ns,1694318 n
2792ns,1694319 n
2708ns,1694320 n
6250ns,1694321 n
2792ns,1694322 n
7791ns,1694323 n
2666ns,1694324 n
2959ns,1694325 n
2667ns,1694326 n
2542ns,1694327 n
5083ns,1694328 n
4208ns,1694329 n
3959ns,1694330 n
2667ns,1694331 n
5250ns,1694332 n
4375ns,1694333 n
2875ns,1694334 n
2708ns,1694335 n
2250ns,1694336 n
3000ns,1694337 n
2625ns,1694338 n
2542ns,1694339 n
2875ns,1694340 n
2792ns,1694341 n
2791ns,1694342 n
3125ns,1694343 n
3250ns,1694344 n
3750ns,1694345 n
2959ns,1694346 n
3500ns,1694347 n
2667ns,1694348 n
2750ns,1694349 n
4375ns,1694350 n
2625ns,1694351 n
2667ns,1694352 n
2416ns,1694353 n
4375ns,1694354 n
2875ns,1694355 n
2458ns,1694356 n
4083ns,1694357 n
2917ns,1694358 n
2625ns,1694359 n
2875ns,1694360 n
5958ns,1694361 n
5459ns,1694362 n
3167ns,1694363 n
3000ns,1694364 n
4708ns,1694365 n
3083ns,1694366 n
3167ns,1694367 n
2584ns,1694368 n
2416ns,1694369 n
2875ns,1694370 n
4083ns,1694371 n
3333ns,1694372 n
3375ns,1694373 n
3084ns,1694374 n
2791ns,1694375 n
4000ns,1694376 n
2542ns,1694377 n
2542ns,1694378 n
2917ns,1694379 n
2875ns,1694380 n
2500ns,1694381 n
4084ns,1694382 n
3125ns,1694383 n
2500ns,1694384 n
3208ns,1694385 n
2541ns,1694386 n
2666ns,1694387 n
2750ns,1694388 n
7959ns,1694389 n
2708ns,1694390 n
2917ns,1694391 n
3416ns,1694392 n
2375ns,1694393 n
2500ns,1694394 n
3959ns,1694395 n
4375ns,1694396 n
4167ns,1694397 n
3166ns,1694398 n
2666ns,1694399 n
2375ns,1694400 n
4459ns,1694401 n
2458ns,1694402 n
3958ns,1694403 n
2417ns,1694404 n
6375ns,1694405 n
